,image_classes,classes,r,g,b
0,Black Soil10,Black Soil,92.599609375,84.021484375,80.9765625
1,Black Soil11,Black Soil,52.54296875,43.8583984375,40.490234375
2,Black Soil12,Black Soil,49.884765625,50.533203125,50.2587890625
3,Black Soil13,Black Soil,46.9453125,39.86328125,38.8984375
4,Black Soil14,Black Soil,36.5302734375,33.9794921875,31.9140625
5,Black Soil15,Black Soil,93.6513671875,71.412109375,57.8466796875
6,Black Soil16,Black Soil,44.63671875,44.150390625,47.087890625
7,Black Soil17,Black Soil,115.8525390625,94.3427734375,84.7470703125
8,Black Soil18,Black Soil,102.41015625,83.498046875,79.63671875
9,Black Soil19,Black Soil,71.2998046875,63.90234375,55.345703125
10,Black Soil2,Black Soil,44.6025390625,43.693359375,41.4541015625
11,Black Soil20,Black Soil,55.2666015625,50.357421875,47.6611328125
12,Black Soil21,Black Soil,55.5068359375,42.77734375,44.525390625
13,Black Soil22,Black Soil,41.4521484375,43.650390625,40.58203125
14,Black Soil23,Black Soil,105.1171875,90.189453125,80.3955078125
15,Black Soil24,Black Soil,67.8115234375,67.5966796875,53.13671875
16,Black Soil25,Black Soil,23.9970703125,23.9970703125,23.9970703125
17,Black Soil26,Black Soil,44.7626953125,33.8291015625,28.5498046875
18,Black Soil27,Black Soil,64.052734375,51.0263671875,45.0732421875
19,Black Soil28,Black Soil,46.9091796875,37.46484375,31.3017578125
20,Black Soil29,Black Soil,65.916015625,51.091796875,44.26953125
21,Black Soil3,Black Soil,79.4462890625,60.1875,47.9716796875
22,Black Soil30,Black Soil,51.0517578125,38.62890625,36.53515625
23,Black Soil31,Black Soil,62.6162109375,46.5029296875,39.578125
24,Black Soil32,Black Soil,66.7685546875,42.4111328125,32.7646484375
25,Black Soil35,Black Soil,59.8369140625,41.9765625,37.19140625
26,Black Soil36,Black Soil,67.3701171875,56.099609375,47.025390625
27,Black Soil37,Black Soil,36.36328125,33.259765625,34.4345703125
28,Black Soil38,Black Soil,36.9970703125,24.384765625,21.5341796875
29,Black Soil39,Black Soil,47.2705078125,39.765625,38.693359375
30,Black Soil4,Black Soil,27.2822265625,27.111328125,28.271484375
31,Black Soil40,Black Soil,21.5244140625,15.7822265625,13.5
32,Black Soil5,Black Soil,114.796875,91.736328125,85.419921875
33,Black Soil6,Black Soil,56.0703125,51.001953125,45.4638671875
34,Black Soil7,Black Soil,50.095703125,43.2802734375,39.9248046875
35,Black Soil8,Black Soil,63.7490234375,54.4208984375,56.4580078125
36,Black Soil9,Black Soil,71.49609375,63.1318359375,57.9580078125
37,Cinder Soil1,Cinder Soil,94.716796875,94.25390625,91.171875
38,Cinder Soil10,Cinder Soil,114.44140625,110.498046875,108.69140625
39,Cinder Soil11,Cinder Soil,162.18359375,146.7294921875,129.314453125
40,Cinder Soil12,Cinder Soil,167.951171875,158.7666015625,154.0478515625
41,Cinder Soil13,Cinder Soil,110.779296875,111.021484375,106.0830078125
42,Cinder Soil14,Cinder Soil,122.763671875,118.275390625,118.2568359375
43,Cinder Soil15,Cinder Soil,96.025390625,95.5908203125,95.4736328125
44,Cinder Soil16,Cinder Soil,87.1005859375,91.802734375,100.6884765625
45,Cinder Soil17,Cinder Soil,101.853515625,104.9931640625,104.2255859375
46,Cinder Soil18,Cinder Soil,130.8447265625,132.3994140625,136.16015625
47,Cinder Soil19,Cinder Soil,120.8046875,82.1171875,74.0634765625
48,Cinder Soil2,Cinder Soil,119.4833984375,99.095703125,84.740234375
49,Cinder Soil20,Cinder Soil,97.6865234375,70.005859375,53.1337890625
50,Cinder Soil21,Cinder Soil,205.5791015625,200.5302734375,200.115234375
51,Cinder Soil22,Cinder Soil,99.017578125,77.2314453125,68.515625
52,Cinder Soil23,Cinder Soil,111.8779296875,113.958984375,115.1923828125
53,Cinder Soil24,Cinder Soil,112.4794921875,86.876953125,78.2099609375
54,Cinder Soil25,Cinder Soil,125.396484375,81.0068359375,71.93359375
55,Cinder Soil26,Cinder Soil,150.400390625,141.748046875,132.169921875
56,Cinder Soil27,Cinder Soil,68.48828125,61.666015625,56.9267578125
57,Cinder Soil28,Cinder Soil,137.259765625,98.12109375,79.04296875
58,Cinder Soil29,Cinder Soil,138.349609375,73.2900390625,80.150390625
59,Cinder Soil3,Cinder Soil,106.1708984375,93.0224609375,90.6650390625
60,Cinder Soil30,Cinder Soil,107.939453125,105.6513671875,107.4951171875
61,Cinder Soil4,Cinder Soil,122.9140625,90.51953125,76.85546875
62,Cinder Soil5,Cinder Soil,109.2451171875,108.7607421875,105.65625
63,Cinder Soil6,Cinder Soil,130.9482421875,103.0380859375,102.2587890625
64,Cinder Soil7,Cinder Soil,134.12890625,116.1298828125,115.439453125
65,Cinder Soil8,Cinder Soil,104.2109375,101.41796875,100.736328125
66,Cinder Soil9,Cinder Soil,104.4189453125,108.3125,115.798828125
67,Laterite Soil1,Laterite Soil,200.7041015625,111.505859375,84.6494140625
68,Laterite Soil10,Laterite Soil,142.7841796875,74.8740234375,59.4248046875
69,Laterite Soil11,Laterite Soil,166.1201171875,92.1904296875,67.5048828125
70,Laterite Soil12,Laterite Soil,145.5458984375,107.2919921875,66.3193359375
71,Laterite Soil13,Laterite Soil,158.015625,91.037109375,61.3798828125
72,Laterite Soil14,Laterite Soil,144.2919921875,59.5380859375,35.66015625
73,Laterite Soil15,Laterite Soil,188.3291015625,116.4033203125,78.0478515625
74,Laterite Soil16,Laterite Soil,162.400390625,86.4521484375,52.474609375
75,Laterite Soil17,Laterite Soil,173.6611328125,90.505859375,55.978515625
76,Laterite Soil18,Laterite Soil,188.1357421875,92.775390625,41.3564453125
77,Laterite Soil19,Laterite Soil,159.8740234375,103.5625,80.796875
78,Laterite Soil2,Laterite Soil,152.6220703125,64.50390625,41.6962890625
79,Laterite Soil20,Laterite Soil,164.71484375,91.4189453125,67.4375
80,Laterite Soil21,Laterite Soil,153.2294921875,88.447265625,57.2626953125
81,Laterite Soil22,Laterite Soil,158.6923828125,98.6689453125,72.21875
82,Laterite Soil23,Laterite Soil,151.748046875,91.365234375,64.67578125
83,Laterite Soil24,Laterite Soil,201.38671875,111.32421875,84.6767578125
84,Laterite Soil25,Laterite Soil,159.62109375,90.5888671875,68.337890625
85,Laterite Soil26,Laterite Soil,179.662109375,116.642578125,81.7705078125
86,Laterite Soil27,Laterite Soil,174.8466796875,125.08203125,90.2060546875
87,Laterite Soil28,Laterite Soil,167.0947265625,122.9931640625,85.5048828125
88,Laterite Soil29,Laterite Soil,154.705078125,114.0673828125,96.6435546875
89,Laterite Soil3,Laterite Soil,154.416015625,88.0673828125,51.6044921875
90,Laterite Soil30,Laterite Soil,166.6484375,134.0947265625,99.7080078125
91,Laterite Soil4,Laterite Soil,148.1181640625,70.705078125,52.3203125
92,Laterite Soil5,Laterite Soil,152.556640625,88.9384765625,50.2900390625
93,Laterite Soil6,Laterite Soil,152.8525390625,64.6259765625,43.5126953125
94,Laterite Soil7,Laterite Soil,164.71484375,91.4189453125,67.4375
95,Laterite Soil8,Laterite Soil,151.76953125,73.3837890625,65.4560546875
96,Laterite Soil9,Laterite Soil,169.4814453125,95.47265625,70.3125
97,Peat Soil1,Peat Soil,116.1708984375,82.27734375,71.0341796875
98,Peat Soil10,Peat Soil,110.103515625,77.23046875,57.9306640625
99,Peat Soil11,Peat Soil,92.2841796875,54.67578125,61.2958984375
100,Peat Soil12,Peat Soil,145.83984375,132.73046875,127.73828125
101,Peat Soil13,Peat Soil,131.0419921875,118.328125,109.67578125
102,Peat Soil14,Peat Soil,176.95703125,169.6220703125,170.607421875
103,Peat Soil15,Peat Soil,61.03515625,43.2451171875,35.1806640625
104,Peat Soil16,Peat Soil,111.6328125,98.9287109375,105.58984375
105,Peat Soil17,Peat Soil,93.046875,80.58203125,75.802734375
106,Peat Soil18,Peat Soil,127.7421875,101.19140625,79.2724609375
107,Peat Soil19,Peat Soil,125.7216796875,127.01171875,96.0458984375
108,Peat Soil2,Peat Soil,98.203125,79.2099609375,68.142578125
109,Peat Soil20,Peat Soil,131.0361328125,107.2421875,100.455078125
110,Peat Soil21,Peat Soil,109.189453125,82.201171875,76.3232421875
111,Peat Soil22,Peat Soil,97.205078125,75.169921875,66.9541015625
112,Peat Soil23,Peat Soil,158.3740234375,146.8798828125,142.1357421875
113,Peat Soil24,Peat Soil,114.07421875,93.568359375,66.56640625
114,Peat Soil25,Peat Soil,97.4833984375,65.623046875,42.9423828125
115,Peat Soil26,Peat Soil,117.5048828125,90.3076171875,75.9443359375
116,Peat Soil27,Peat Soil,146.7607421875,116.7177734375,103.72265625
117,Peat Soil28,Peat Soil,144.6484375,108.46875,77.650390625
118,Peat Soil29,Peat Soil,74.34765625,55.4345703125,46.62109375
119,Peat Soil3,Peat Soil,129.876953125,88.697265625,67.287109375
120,Peat Soil30,Peat Soil,122.046875,97.6943359375,89.2177734375
121,Peat Soil4,Peat Soil,86.9658203125,63.169921875,46.2978515625
122,Peat Soil5,Peat Soil,75.8330078125,63.51953125,60.90234375
123,Peat Soil6,Peat Soil,133.2314453125,92.7421875,78.5205078125
124,Peat Soil7,Peat Soil,128.83984375,102.3671875,82.3916015625
125,Peat Soil8,Peat Soil,134.25390625,119.7236328125,104.1025390625
126,Peat Soil9,Peat Soil,110.5966796875,79.013671875,81.39453125
127,Yellow Soil10,Yellow Soil,185.7373046875,149.171875,93.1142578125
128,Yellow Soil11,Yellow Soil,174.29296875,144.763671875,97.337890625
129,Yellow Soil12,Yellow Soil,160.05078125,105.57421875,30.4111328125
130,Yellow Soil13,Yellow Soil,175.5859375,119.3076171875,44.525390625
131,Yellow Soil14,Yellow Soil,186.1298828125,135.974609375,73.291015625
132,Yellow Soil15,Yellow Soil,184.521484375,129.009765625,66.7734375
133,Yellow Soil16,Yellow Soil,195.56640625,139.26171875,68.90234375
134,Yellow Soil17,Yellow Soil,156.7197265625,109.212890625,30.1142578125
135,Yellow Soil18,Yellow Soil,175.5859375,119.3076171875,44.525390625
136,Yellow Soil19,Yellow Soil,143.916015625,85.4287109375,30.703125
137,Yellow Soil2,Yellow Soil,202.28515625,149.041015625,41.61328125
138,Yellow Soil20,Yellow Soil,151.6435546875,105.3447265625,53.6162109375
139,Yellow Soil21,Yellow Soil,204.23828125,172.6513671875,105.5478515625
140,Yellow Soil22,Yellow Soil,131.9765625,86.7490234375,36.302734375
141,Yellow Soil23,Yellow Soil,173.95703125,131.28515625,66.0087890625
142,Yellow Soil24,Yellow Soil,200.244140625,124.48046875,24.5263671875
143,Yellow Soil25,Yellow Soil,199.158203125,155.0400390625,102.1484375
144,Yellow Soil26,Yellow Soil,145.4384765625,108.3701171875,60.1025390625
145,Yellow Soil27,Yellow Soil,168.4814453125,148.7890625,64.474609375
146,Yellow Soil28,Yellow Soil,182.076171875,126.1181640625,67.4404296875
147,Yellow Soil29,Yellow Soil,210.455078125,142.896484375,70.8427734375
148,Yellow Soil3,Yellow Soil,184.470703125,143.2509765625,90.6064453125
149,Yellow Soil30,Yellow Soil,175.3876953125,109.4833984375,55.544921875
150,Yellow Soil4,Yellow Soil,186.185546875,124.7041015625,47.0439453125
151,Yellow Soil5,Yellow Soil,152.21875,122.1279296875,65.3642578125
152,Yellow Soil6,Yellow Soil,172.1552734375,134.0703125,65.24609375
153,Yellow Soil7,Yellow Soil,209.10546875,177.296875,113.7705078125
154,Yellow Soil8,Yellow Soil,214.189453125,171.556640625,97.638671875
155,Yellow Soil9,Yellow Soil,219.8701171875,168.91015625,92.3994140625
